,type,x,y,z,r,parent
17109_1701_x8048_y22277.swc,1,2820.175,3990.05,7795.55,1.0,-1
17109_1801_x6698_y12550.swc,1,3003.125,3453.775,4191.8,1.0,-1
17109_1901_x9602_y10508.swc,1,3183.9500000000003,4764.25,3375.825,1.0,-1
17109_2201_x8046_y23301.swc,1,3479.625,3790.725,8126.5,1.0,-1
17109_2301_x8535_y23051.swc,1,3562.35,4013.725,8007.975,1.0,-1
17109_2301_x9418_y23665.swc,1,3535.425,4363.25,8328.1,1.0,-1
17109_2401_x8977_y24184.swc,1,3737.1,4093.525000000001,8497.25,1.0,-1
17109_2401_x9338_y2394.swc,1,3727.1,4285.150000000001,8300.925,1.0,-1
17109_2401_x9695_y9693.swc,1,3879.0,4732.099999999999,3261.875,1.0,-1
17109_2401_x9954_y9122.swc,1,3832.8,4865.825,2947.775,1.0,-1
17109_2500_x9864_y9311.swc,1,3930.45,4806.4,3081.0,1.0,-1
17109_2601_x10213_y8783.swc,1,4126.175,4934.65,2859.575,1.0,-1
17109_2601_x9296_y24691.swc,1,3998.125000000001,4142.3,8708.074999999999,1.0,-1
17109_2601_x9498_y8169.swc,1,4160.4,4654.175,2645.725,1.0,-1
17109_3101_x10824_y7188.swc,1,4866.075,5111.025,2283.25,1.0,-1
17109_3701_x9228_y26684.swc,1,5291.925,3768.85,9538.475,1.0,-1
17109_4101_x6753_y6197.swc,1,6037.474999999999,3118.3,2125.35,1.0,-1
17109_4764_x6621_y5727.swc,1,6806.924999999999,2987.2,1964.675,1.0,-1
17109_4772_x9038_y27257.swc,1,6566.074999999999,3493.15,9725.55,1.0,-1
17109_6201_x4328_y6753.swc,1,9260.575,1814.675,2845.55,1.0,-1
17109_6301_x4756_y24516.swc,1,8614.050000000001,1527.875,8583.65,1.0,-1
17109_6401_x7641_y3978.swc,1,9096.25,3343.175,1533.025,1.0,-1
17109_6401_x7989_y3767.swc,1,9028.025,3275.9500000000003,1457.125,1.0,-1
17109_6501_x6997_y4287.swc,1,9152.625,3034.45,1570.25,1.0,-1
17109_6601_x4384_y7436.swc,1,8783.025000000001,1785.6,2531.85,1.0,-1
17109_6601_x5417_y25287.swc,1,8962.824999999999,1845.2000000000005,8970.275,1.0,-1
17109_6801_x7432_y4405.swc,1,9533.3,3203.025,1673.525,1.0,-1
17109_6901_x7203_y26714.swc,1,9248.9,2556.025,9601.825,1.0,-1
17109_7001_x5738_y6470.swc,1,9733.45,2493.9,2500.725,1.0,-1
17109_7001_x6205_y5194.swc,1,9757.475,2722.175,1932.775,1.0,-1
17300_3426_x20339_y44872.swc,1,5354.05,3600.675,9876.05,1.0,-1
17300_3514_x19676_y45282.swc,1,5454.75,3747.925,9976.95,1.0,-1
17300_5571_x27063_y39610.swc,1,7845.575,1084.25,8362.25,1.0,-1
17300_5896_x24862_y27320.swc,1,8308.125,1610.8250000000005,5457.0,1.0,-1
17300_5969_x27278_y20820.swc,1,8162.775000000001,794.875,4004.325,1.0,-1
17300_6010_x23413_y13446.swc,1,8363.75,1941.55,1893.575,1.0,-1
17302_00001.swc,1,5127.975,4972.75,9085.9,1.0,-1
17302_00002.swc,1,4999.4,5010.575,9060.3,1.0,-1
17302_00003.swc,1,5143.724999999999,4929.4,9214.0,1.0,-1
17302_00005.swc,1,4939.75,4732.025000000001,8835.575,1.0,-1
17302_00006.swc,1,5222.525000000001,4698.299999999999,9069.6,1.0,-1
17302_00007.swc,1,5270.675,4716.525,9040.525,1.0,-1
17302_00009.swc,1,5070.425,4553.95,8955.7,1.0,-1
17302_00010.swc,1,5068.3,4388.375,8871.7,1.0,-1
17302_00011.swc,1,5252.0,4526.475,9084.275,1.0,-1
17302_00013.swc,1,5113.150000000001,4445.2,9005.675,1.0,-1
17302_00014.swc,1,4809.95,4174.224999999999,8894.225,1.0,-1
17302_00015.swc,1,5233.424999999999,4152.450000000001,9032.6,1.0,-1
17302_00016.swc,1,4993.325,3848.3,8884.875,1.0,-1
17302_00017.swc,1,6886.2,4689.35,9512.725,1.0,-1
17302_00018.swc,1,5181.425,5271.475,8659.4,1.0,-1
17302_00020.swc,1,6765.775,4762.9,7519.424999999999,1.0,-1
17302_00021.swc,1,6678.05,4544.9,7455.575000000001,1.0,-1
17302_00023.swc,1,6444.674999999999,4579.6,6285.925,1.0,-1
17302_00024.swc,1,5847.875,4685.275,5577.875,1.0,-1
17302_00025.swc,1,6229.2,4102.85,5479.175,1.0,-1
17302_00027.swc,1,4965.55,4418.15,8798.2,1.0,-1
17302_00030.swc,1,4277.575,4475.45,8436.95,1.0,-1
17302_00031.swc,1,4919.5,4275.175,8502.3,1.0,-1
17302_00032.swc,1,4341.925,4080.25,8516.175,1.0,-1
17302_00033.swc,1,4252.525,4342.5,7857.075000000001,1.0,-1
17302_00035.swc,1,8372.85,4043.975,7857.075000000001,1.0,-1
17302_00036.swc,1,8208.525,3948.425,7956.225,1.0,-1
17302_00037.swc,1,7130.474999999999,3579.2499999999995,8139.825000000001,1.0,-1
17302_00038.swc,1,8386.825,3660.725,8053.625,1.0,-1
17302_00039.swc,1,7625.449999999999,3302.7500000000005,8118.25,1.0,-1
17302_00040.swc,1,7894.9,3219.7000000000003,7893.325,1.0,-1
17302_00041.swc,1,7831.075,3163.45,7982.675,1.0,-1
17302_00043.swc,1,5287.375,3614.175,8356.125,1.0,-1
17302_00044.swc,1,4709.875,3528.0,8286.975,1.0,-1
17302_00045.swc,1,4663.7,3675.325,8113.849999999999,1.0,-1
17302_00046.swc,1,5730.275000000001,3187.625,8364.6,1.0,-1
17302_00047.swc,1,5220.85,2862.375,7905.500000000001,1.0,-1
17302_00048.swc,1,7305.65,3014.4500000000003,8020.425,1.0,-1
17302_00049.swc,1,7649.724999999999,3017.5,7927.424999999999,1.0,-1
17302_00050.swc,1,4245.924999999999,4214.974999999999,7447.1,1.0,-1
17302_00052.swc,1,8356.225,3690.7,7741.500000000001,1.0,-1
17302_00053.swc,1,6807.65,3933.475,7516.225,1.0,-1
17302_00054.swc,1,7294.075,4085.025,7239.125,1.0,-1
17302_00055.swc,1,4977.6,3274.075,7505.724999999999,1.0,-1
17302_00056.swc,1,5005.75,3059.175,7719.875,1.0,-1
17302_00057.swc,1,4712.825,3089.05,7476.775000000001,1.0,-1
17302_00059.swc,1,4295.6,3411.9999999999995,7042.425,1.0,-1
17302_00062.swc,1,5183.025,2938.5750000000003,7170.924999999999,1.0,-1
17302_00063.swc,1,5201.25,2764.125,6990.875,1.0,-1
17302_00064.swc,1,7251.975,2916.6,7879.8,1.0,-1
17302_00065.swc,1,7200.400000000001,2903.125,7803.775000000001,1.0,-1
17302_00066.swc,1,7652.200000000001,2959.625,7830.400000000001,1.0,-1
17302_00074.swc,1,4588.55,4816.75,4179.275,1.0,-1
17302_00075.swc,1,5071.25,4735.425,2874.725,1.0,-1
17302_00076.swc,1,8126.025,3867.175,3695.45,1.0,-1
17302_00077.swc,1,8085.625,3800.8,3674.95,1.0,-1
17302_00078.swc,1,7562.050000000001,3751.45,3466.075,1.0,-1
17302_00079.swc,1,8390.525,3765.625,3414.3749999999995,1.0,-1
17302_00080.swc,1,8078.725,3756.55,3366.25,1.0,-1
17302_00081.swc,1,5230.75,5233.5,2467.875,1.0,-1
17302_00085.swc,1,5700.7,4770.05,2511.8,1.0,-1
17302_00086.swc,1,5140.45,4671.475,2610.725,1.0,-1
17302_00087.swc,1,5053.6,4723.05,2432.95,1.0,-1
17302_00091.swc,1,5216.400000000001,4245.4,2562.875,1.0,-1
17302_00093.swc,1,5271.15,4722.775,2422.525,1.0,-1
17302_00094.swc,1,5204.35,4730.775,2392.5750000000003,1.0,-1
17302_00095.swc,1,5218.2,4632.35,2430.8,1.0,-1
17302_00096.swc,1,5001.175,4624.25,2375.1,1.0,-1
17302_00097.swc,1,5308.575,4663.3,2293.25,1.0,-1
17302_00098.swc,1,5155.400000000001,4271.55,2419.75,1.0,-1
17302_00099.swc,1,6938.849999999999,4569.025,2215.275,1.0,-1
17302_00101.swc,1,4604.099999999999,3493.725,4460.049999999999,1.0,-1
17302_00102.swc,1,4486.849999999999,3227.225,4098.25,1.0,-1
17302_00103.swc,1,5652.75,2653.875,4380.25,1.0,-1
17302_00105.swc,1,3990.1,4270.65,3557.85,1.0,-1
17302_00106.swc,1,4943.55,3503.7,3961.0,1.0,-1
17302_00108.swc,1,4509.925,4032.4,2964.8250000000003,1.0,-1
17302_00110.swc,1,4691.9,3770.1,3368.175,1.0,-1
17302_00112.swc,1,7295.05,3655.875000000001,3800.65,1.0,-1
17302_00113.swc,1,6821.325,3710.775,3665.250000000001,1.0,-1
17302_00114.swc,1,7094.374999999999,3665.400000000001,3619.975,1.0,-1
17302_00115.swc,1,7341.775,3646.45,3661.45,1.0,-1
17302_00116.swc,1,7522.3,3655.65,3626.025,1.0,-1
17302_00117.swc,1,7425.974999999999,3390.325,3389.3749999999995,1.0,-1
17302_00118.swc,1,7877.4,3432.55,3256.65,1.0,-1
17302_00119.swc,1,7754.775,3036.6,3739.175,1.0,-1
17302_00120.swc,1,7646.275,2926.0,3705.0,1.0,-1
17302_00121.swc,1,7572.674999999999,2953.85,3657.45,1.0,-1
17302_00123.swc,1,4777.05,3207.125,3974.75,1.0,-1
17302_00124.swc,1,5211.475,3512.6,2864.925,1.0,-1
17302_00125.swc,1,7588.349999999999,3101.625,4015.8,1.0,-1
17543_2434_x11441_y5587.swc,1,3222.15,5183.45,2130.65,1.0,-1
17543_3308_x10077_y3766.swc,1,4307.35,5006.875,1587.425,1.0,-1
17543_3471_x12087_y3637.swc,1,4257.075,5990.375,1449.45,1.0,-1
17543_3705_x9619_y20864.swc,1,4403.099999999999,4708.675,9396.575,1.0,-1
17543_3828_x6023_y17044.swc,1,5507.525,2892.25,7550.525000000001,1.0,-1
17543_3842_x7369_y3542.swc,1,5664.425,3454.3500000000004,1822.75,1.0,-1
17543_4868_x6727_y21047.swc,1,6610.5,2742.5,9645.625,1.0,-1
17543_4926_x5833_y20277.swc,1,6865.925,2227.85,9285.925,1.0,-1
17543_5296_x5131_y20385.swc,1,7491.275000000001,1684.1249999999998,9354.15,1.0,-1
17543_5334_x5066_y20381.swc,1,7560.875,1635.425,9352.45,1.0,-1
17545_00001.swc,1,5193.75,5415.650000000001,9103.7,1.0,-1
17545_00003.swc,1,7123.0,5119.525000000001,7932.975,1.0,-1
17545_00004.swc,1,5015.849999999999,5133.325,9096.975,1.0,-1
17545_00006.swc,1,5014.974999999999,4803.475,9100.8,1.0,-1
17545_00007.swc,1,5204.575,5034.45,9051.625,1.0,-1
17545_00008.swc,1,5291.175,4982.849999999999,9110.6,1.0,-1
17545_00023.swc,1,5099.175,4339.224999999999,9212.575,1.0,-1
17545_00024.swc,1,5127.450000000001,4183.225,9058.025,1.0,-1
17545_00025.swc,1,4860.95,3947.6,8927.075,1.0,-1
17545_00026.swc,1,5174.0,4012.225,9115.575,1.0,-1
17545_00027.swc,1,5646.75,4962.95,9402.875,1.0,-1
17545_00028.swc,1,7020.675,4640.525000000001,9468.225,1.0,-1
17545_00029.swc,1,5522.275,4265.650000000001,9070.525,1.0,-1
17545_00030.swc,1,5190.3,3783.6,8913.775,1.0,-1
17545_00040.swc,1,4487.8,5180.75,8500.95,1.0,-1
17545_00041.swc,1,4808.599999999999,4953.65,8943.2,1.0,-1
